Month	Days	Seconds	Member 1 (million cu.m/month)	Member 2	Member 3	Member 4	Member 5	Member 6	Member 7	Member 8	Member 9	Member 10	Member 11	Member 12	Member 13	Member 14	Member 15	Member 16	Member 17	Member 18	Member 19	Member 20	Member 21	Member 22	Member 23	Member 24	Member 25	Member 26	Member 27	Member 28	Member 29	Member 30	Member 31	Member 32	Member 33	Member 34	Member 35	Member 36	Member 37	Member 38	Member 39	Member 40	Member 41	Member 42	Member 43	Member 44	Member 45	Member 46	Member 47	Member 48	Member 49	Member 50	Member 51	Member 52	Member 53	Member 54	Member 55	Member 56	Member 57	Member 58	Member 59	Member 60	Member 61	Member 62	Member 63	Member 64	Member 65	Member 66	Member 67	Member 68	Member 69	Member 70	Member 71	Member 72	Member 73	Member 74	Member 75	Member 76	Member 77	Member 78	Member 79	Member 80	Member 81	Member 82	Member 83	Member 84	Member 85	Member 86	Member 87	Member 88	Member 89	Member 90	Member 91	Member 92	Member 93	Member 94	Member 95	Member 96	Member 97	Member 98	Member 99	Member 100
1	31	2678400	852.6688961	742.8346458	773.919811	651.6514947	958.3584577	703.4601033	1026.745821	964.5754907	1424.635935	633.0003956	1097.205529	921.0562595	782.2091884	1171.809925	1001.877689	1592.495827	649.5791504	943.8520472	815.3666979	771.8474667	585.3364757	1180.099303	908.6221934	1830.815427	1273.354798	809.1496649	894.115783	1155.23117	1561.410662	1134.507727	1296.150586	836.0901413	564.6130322	1090.988496	421.6212725	722.1112024	1826.670738	871.3199952	1169.737581	1099.277873	964.5754907	755.2687119	496.2256689	962.5031463	736.6176128	815.3666979	1211.184468	749.0516789	823.6560753	1142.797104	993.5883115	456.8511263	1120.001317	1142.797104	1146.941793	1600.785204	997.7330002	1271.282454	1240.197288	935.5626699	1037.107543	1242.269633	817.4390422	1198.750402	902.4051604	1841.177148	1640.159747	1312.729341	958.3584577	1041.252231	759.4134006	1161.448203	1090.988496	916.9115708	800.8602875	1194.605713	1136.580071	1484.733921	1260.920732	765.6304336	1037.107543	533.5278671	794.6432545	709.6771363	1151.086482	1289.933553	823.6560753	655.7961834	1006.022378	1853.611214	780.136844	997.7330002	854.7412404	807.0773205	1093.06084	664.0855608	1482.661577	902.4051604	974.9372124	1049.541609
2	28	2419200	1191.888461	600.4764412	450.5112505	980.6698827	877.1727792	849.714364	600.4764412	862.3874787	868.724036	530.7743103	423.0528352	995.4551832	623.7104849	927.865238	746.2172605	1031.362342	558.2327255	604.7008128	615.2617417	980.6698827	560.3449113	526.5499387	940.5383528	693.4126158	706.0857305	741.9928889	906.7433802	213.9464424	1557.296602	363.9116332	839.153435	163.2539836	834.9290635	716.6466595	243.5170434	308.9948028	731.43196	228.7317429	695.5248016	754.6660036	450.5112505	906.7433802	851.8265497	710.3101021	604.7008128	1656.569334	404.0431632	520.2133814	718.7588452	566.6814687	410.3797205	323.7801033	1327.068352	851.8265497	1177.103161	509.6524525	1318.619608	710.3101021	796.9097193	258.3023439	849.714364	957.435839	862.3874787	906.7433802	1105.288844	877.1727792	697.6369874	294.2095023	862.3874787	976.4455111	319.5557317	845.4899924	281.5363876	1006.016112	1016.577041	1050.372014	915.1921233	999.6795548	180.1514699	902.5190086	1050.372014	872.9484076	982.7820685	319.5557317	566.6814687	532.8864961	687.0760585	469.5209225	332.2288464	695.5248016	976.4455111	1052.484199	790.573162	805.3584625	887.7337081	646.9445285	532.8864961	687.0760585	661.729829	501.2037093
3	31	2678400	626.1262735	1461.416402	726.5907219	783.9989782	1685.308601	1251.876267	1271.969156	1553.269612	1711.142317	904.5563163	1335.118238	881.5930138	1699.660665	1461.416402	2790.417534	525.661825	1294.932459	1329.377413	1444.193925	1602.06663	1211.690487	1774.291399	1346.599889	910.2971419	1817.347591	990.6687007	916.0379676	1085.392324	531.4026507	1547.528786	1091.133149	1266.228331	1286.32122	1246.135441	1492.990943	1323.636587	594.5517325	1203.079249	1490.12053	1335.118238	1518.824658	1137.059754	735.2019604	1455.675576	1507.343007	1530.30631	1165.763882	2213.464559	2784.676709	1125.578103	1168.634295	628.9966863	1802.995527	1762.809747	2273.743228	2242.168687	1237.524203	1863.274196	2334.021897	1277.709982	574.4588428	2012.535662	1346.599889	674.9232913	1131.318929	1424.101035	1114.096452	1481.509292	1340.859064	1645.122822	597.4221453	1180.115946	2164.667541	1406.878559	637.6079247	1754.198509	1277.709982	695.016181	1358.081541	1567.621676	614.6446222	1306.41411	1283.450808	1398.26732	1223.172139	1757.068922	1906.330388	818.4439319	1214.5609	1151.411818	778.2581526	1627.900345	689.2753554	1154.282231	870.1113626	1346.599889	1246.135441	1518.824658	430.9382022	875.8521882
4	30	2592000	781.3873874	2244.945666	2119.001481	933.388989	1962.656977	1828.026987	1584.824424	1228.706386	2974.553353	1728.14022	1480.594755	2075.572452	1828.026987	1502.309269	4312.167447	2839.923363	1702.082803	1732.483123	1975.685686	1606.538939	2271.003083	1484.937658	2396.947267	2379.575656	1319.907347	3552.159439	2805.18014	4190.566166	2145.058899	2049.515035	2931.124324	1988.714394	1884.484725	2913.752713	1510.995075	2249.288569	1324.25025	2240.602763	2627.121121	1901.856336	1762.883443	1997.4002	742.3012613	1345.964765	3391.472032	2075.572452	1528.366687	1241.735095	1350.307668	1345.964765	1858.427307	2427.347588	1828.026987	1319.907347	2926.781421	2006.086006	1880.141822	2870.323684	1762.883443	1584.824424	1949.628268	2431.69049	1710.768609	1984.371491	1584.824424	1676.025385	2175.459219	1567.452813	2162.430511	1528.366687	2939.81013	2757.408208	1988.714394	2379.575656	846.5309309	2240.602763	2674.893053	2713.979179	2948.495936	1780.255055	1054.99027	1719.454414	1610.881842	1953.971171	1250.420901	1159.21994	1662.996677	3274.213654	1875.798919	2948.495936	1254.763804	1940.942462	4155.822943	1893.170531	1662.996677	1432.822823	1932.256657	1298.192833	1550.081201	820.4735135
5	31	2678400	533.7591095	2947.002878	1952.49608	4796.924614	4004.101013	1243.127595	2237.634393	1208.35463	4755.197056	2084.633347	1924.677708	339.0305057	2147.224684	3837.190781	2425.408404	4101.465315	2780.092646	2460.181369	4970.789439	1521.311315	3037.412587	4018.010199	2821.820204	881.4887592	2578.409449	985.8076541	2154.179277	1416.99242	6034.842167	2585.364042	6591.209606	944.0800961	4024.964792	6507.75449	2599.273228	1841.222592	2856.593169	2460.181369	2654.909972	4059.737757	1076.217363	2807.911018	1862.086371	2891.366134	999.71684	1604.76643	1924.677708	1750.812883	2780.092646	6187.843213	2752.274274	2522.772706	2919.184506	6250.43455	2668.819158	2599.273228	4671.74194	3301.687121	4011.055606	1076.217363	1020.580619	1973.359859	909.3071311	1131.854107	2453.226776	2515.818113	3858.05456	1827.313406	4212.738803	3392.09683	4080.601536	1702.130732	2035.951196	2620.137007	2508.86352	2953.957471	1437.856199	2418.453811	3120.867703	1576.948058	2105.497126	1083.171956	2508.86352	6681.619315	2015.087417	4630.014382	1361.355676	2307.180323	3079.140145	512.8953305	2446.272183	2689.682937	4094.510722	6382.571817	4824.742986	1382.219455	4977.744032	1994.223638	2689.682937	1222.263816
6	30	2592000	2859.942615	3648.67823	6172.6322	3934.125405	3062.760344	2837.407311	2356.654174	1109.700725	921.9065305	2101.25407	1838.342198	779.1829429	1665.57154	4437.413846	4257.131419	7554.797469	2905.013221	2499.377762	1688.106843	1177.306635	3746.331211	4354.7844	3032.713273	809.230014	4197.037277	3881.543031	2582.007207	929.4182983	3828.960657	4505.019756	5376.384817	6059.955684	7659.962218	1507.824416	4918.166983	1815.806895	3859.007728	1477.777345	2491.865994	3896.566567	2071.206999	3243.042771	3520.978178	4294.690258	3708.772372	2056.183463	1928.483411	3603.607624	5421.455423	3843.984192	2521.913065	2867.454382	6059.955684	2198.907051	1582.942094	4497.507988	1094.677189	1177.306635	4482.484452	3212.9957	2183.883516	2506.88953	2717.219027	2589.518975	4775.443395	2469.330691	1793.271592	2499.377762	2732.242563	1132.236028	2950.083828	4174.501974	4813.002234	7599.868076	7577.332773	4369.807936	7231.791455	7344.467972	2829.895544	2146.324677	3228.019235	3303.136913	2311.583568	1740.689217	1402.659668	3182.948629	1365.100829	5271.220068	3686.237069	914.3947628	936.9300661	839.2770851	4249.619652	1522.847952	7622.403379	4722.861021	5984.838006	5361.361281	4407.366775	1748.200985
7	31	2678400	5798.088853	3707.979019	5193.336261	3113.836123	7453.201208	4938.703591	7591.127237	2837.984064	11007.44889	8312.586469	9023.436006	2774.325896	3548.833601	11622.81118	4100.537719	3623.101463	3432.12696	6211.866941	10720.98714	10752.81622	3729.198409	2848.593758	3570.05299	11580.3724	4227.854054	9034.045701	4132.366803	3485.175433	2912.251926	4164.195887	2180.182999	1766.40491	2392.376891	3782.246882	10933.18103	3601.882074	3580.662684	6275.525109	2296.88964	8270.147691	5076.629621	7368.323651	3771.637187	1734.575827	5776.869463	7304.665484	2180.182999	3792.856576	2519.693226	3792.856576	8323.196164	3867.124438	3654.930547	3898.953522	10667.93867	2668.22895	8248.928302	8185.270134	10625.49989	11410.61729	3686.75963	10805.8647	2668.22895	6084.550606	2891.032536	6339.183276	3707.979019	8641.487001	8323.196164	5182.726567	3665.540241	11622.81118	3750.417798	3814.075965	9097.703868	3580.662684	6498.328695	9076.484479	6148.208774	11516.71423	11071.10706	7325.884873	11325.73973	7622.956321	3591.272379	10508.79325	10551.23203	7241.007316	3623.101463	3835.295354	7124.300676	9034.045701	5172.116872	2912.251926	2105.915137	4068.708635	9171.971731	1936.160024	3495.785128	3909.563217
8	31	2678400	11136.02993	2190.525229	6510.051155	8684.407111	2278.083187	6495.458162	11165.21592	935.5278318	11208.9949	6510.051155	5838.773477	3956.277381	4627.555059	2511.571075	2424.013117	1986.223327	1986.223327	4569.183087	2117.560264	11106.84395	1796.514418	11296.55286	5751.21552	993.8998038	10917.13504	6583.01612	2963.953858	2336.455159	7896.385489	14682.12723	847.9698739	4510.811115	6728.94605	1884.072376	6685.167071	8188.245349	3751.975479	11267.36687	4364.881185	14784.27818	1665.177481	2818.023928	3912.498402	6787.318022	4277.323227	6918.654959	2730.46597	14609.16227	4758.891996	6364.121225	5984.703407	1796.514418	964.7138178	6378.714218	6933.247952	10990.1	3912.498402	1913.258362	1869.479383	1738.142446	5794.994498	6466.272176	4700.520024	4233.544248	2321.862166	5824.180484	1708.95646	3941.684388	3985.463367	5897.145449	6947.840945	6553.830134	8538.477181	14915.61512	2759.651956	1431.689594	2278.083187	2000.81632	6364.121225	4233.544248	1052.271776	6218.191295	8626.035139	5809.587491	11092.25095	2175.932236	8086.094398	2774.244949	3781.161465	11165.21592	2146.74625	7808.827532	3839.533437	6364.121225	2044.595299	5882.552456	6320.342246	11457.07578	3810.347451	1694.363467
9	30	2592000	1113.453502	2167.763972	1151.792064	6001.620228	5752.419572	2646.996004	5790.758134	3452.105818	2723.673129	3605.460068	4046.353538	11733.23533	19055.90078	1746.039784	2340.287504	4391.400601	2455.303191	2340.287504	9854.645766	4084.6921	2282.77966	17119.80337	2263.610378	17043.12625	5637.403884	11752.40461	1784.378346	7669.3477	2666.165285	2301.948941	8589.473201	2091.086847	2493.641754	519.2057818	1017.607095	11158.15689	5503.218915	5752.419572	7803.532669	2646.996004	18979.22366	2359.456785	2685.334567	5809.927415	2608.657441	7746.024825	442.5286567	2436.13391	2436.13391	3739.645037	4046.353538	8570.30392	11579.88108	5771.588853	2627.826723	6749.222198	5656.573165	2244.441097	5445.711071	5944.112384	2436.13391	3528.782943	5484.049634	1247.63847	16985.6184	4621.431976	2167.763972	17062.29553	11809.91246	3528.782943	7822.70195	8493.626795	7573.501293	5656.573165	19055.90078	4525.58557	2416.964629	3739.645037	7631.009137	2474.472472	8551.134639	4602.262695	5982.450947	4640.601257	6557.529385	2301.948941	3605.460068	3662.967912	3777.9836	1880.224753	5656.573165	2531.980316	2953.704505	11138.98761	5579.89604	2359.456785	11177.32617	5349.864665	7765.194106	2225.271816
10	31	2678400	8857.220757	18985.03185	1708.177634	2822.813389	574.32402	5340.352769	2899.684821	2553.763379	8838.002899	2649.852669	2323.149085	2726.7241	1900.356212	3034.209826	2323.149085	4244.934871	3149.516973	5359.570627	1688.959776	3899.013429	1785.049065	7550.406422	2572.981237	8857.220757	4206.499155	4014.320577	2284.713369	3187.952689	535.8883043	8972.527904	7857.892148	1785.049065	4417.895592	1746.613349	5590.184921	824.1561722	7684.931427	5705.492068	4917.559896	1592.870486	1688.959776	593.5418779	1938.791928	766.5025986	5128.956332	12047.38516	7531.188565	18965.81399	4244.934871	5340.352769	1688.959776	920.2454615	1861.920496	804.9383143	4610.07417	2246.277654	1650.52406	439.799015	1977.227644	1861.920496	2188.62408	3975.884861	3245.606262	1708.177634	1977.227644	4763.817033	4686.945602	401.3632993	2457.67409	1823.484781	7569.62428	4110.409866	2803.595532	5225.045622	5244.263479	3995.102719	1669.741918	2726.7241	708.849025	1016.334751	1323.820476	1881.138354	3975.884861	4341.02416	5474.877774	4148.845582	1669.741918	1727.395491	1804.266923	1612.088344	1515.999055	12066.60302	3168.734831	4206.499155	4821.470607	478.2347307	4225.717013	3072.645542	7339.009986	12162.69231
